sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-10-17 15:01:09.006 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
21, 386488020, -0.535612940788269, -1.1544374227523804, -3.0356926918029785, -0.05714844, 0.0029049246, 0.34372902, 0
22, 386504687, -0.5395857095718384, -1.1683692932128906, -3.0470128059387207, -0.058088217, 0.012208253, 0.3387146, 0
23, 386521354, -0.5434456467628479, -1.1835384368896484, -3.048185348510742, -0.06122059, 0.025768828, 0.33029747, 0
24, 386538021, -0.5471282005310059, -1.1984546184539795, -3.04111909866333, -0.057251975, 0.0052862596, 0.33659744, 0
25, 386554688, -0.5507416129112244, -1.2107601165771484, -3.0210955142974854, -0.07370465, 0.013897383, 0.31143856, 0
26, 386571355, -0.553921639919281, -1.2236276865005493, -3.0207221508026123, -0.05731464, 0.019120615, 0.3223896, 0
27, 386588022, -0.5576616525650024, -1.236498475074768, -3.0062828063964844, -0.052330084, 0.012001259, 0.32897663, 0
28, 386604689, -0.5611354112625122, -1.2509334087371826, -2.9972403049468994, -0.07470866, 0.019998575, 0.31053448, 0
29, 386621356, -0.5633553862571716, -1.2656385898590088, -2.978458881378174, -0.07539428, 0.015942693, 0.34612846, 0
30, 386638023, -0.5667992830276489, -1.2793285846710205, -2.9730756282806396, -0.07075412, 0.026666867, 0.32074928, 0
31, 386654690, -0.5693842172622681, -1.2926913499832153, -2.9833192825317383, -0.071066685, 0.025747757, 0.34050846, 0
32, 386671357, -0.5724833607673645, -1.3061529397964478, -2.9882922172546387, -0.08313192, 0.014361022, 0.3371849, 0
33, 386688024, -0.5755717158317566, -1.3212814331054688, -3.0142822265625, -0.079844065, 0.017917706, 0.3218279, 0
34, 386704691, -0.5781019330024719, -1.3357257843017578, -3.015343189239502, -0.074965626, 0.019236747, 0.32735348, 0
35, 386721358, -0.5811740159988403, -1.3503868579864502, -3.017364501953125, -0.089794956, 0.01075287, 0.30214882, 0
36, 386738025, -0.5846262574195862, -1.3651978969573975, -3.0369606018066406, -0.08053307, 0.034467276, 0.30631638, 0
37, 386754692, -0.5869463682174683, -1.378970742225647, -3.0336973667144775, -0.1017175, 0.027052572, 0.34969997, 0
38, 386771359, -0.5896369814872742, -1.3931106328964233, -3.026751756668091, -0.08145306, 0.011917219, 0.3210745, 0
39, 386788026, -0.592976450920105, -1.4070841073989868, -3.028243064880371, -0.09922988, 0.040872715, 0.30613708, 0
