sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,20Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2024-10-17 19:21:43.608 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
29, 56101370, 0.9999998211860657, -1.4316849410533905E-4, -5.568545311689377E-4, 2.842014655470848E-4, 0.013011455535888672, -0.0012178421020507812, 0.5071435570716858
30, 56151371, 0.9999998211860657, -1.233462244272232E-4, -5.181077867746353E-4, 3.0473899096250534E-4, 0.013563930988311768, -0.0011317133903503418, 0.5068104863166809
31, 56201372, 0.9999998211860657, -1.321900635957718E-4, -5.440171808004379E-4, 2.9882509261369705E-4, 0.013016283512115479, -0.0015503168106079102, 0.5068033337593079
32, 56251373, 0.9999998211860657, -1.3074465095996857E-4, -5.53598627448082E-4, 3.0150357633829117E-4, 0.013094604015350342, -0.0014513134956359863, 0.507356584072113
33, 56301374, 0.9999998211860657, -1.3937056064605713E-4, -5.195997655391693E-4, 2.662474289536476E-4, 0.013439774513244629, -0.0015215277671813965, 0.5073955655097961
34, 56351375, 0.9999998211860657, -1.2139976024627686E-4, -5.254894495010376E-4, 3.000134602189064E-4, 0.013322591781616211, -0.0015288591384887695, 0.5068458914756775
35, 56401376, 0.9999998211860657, -1.2688897550106049E-4, -5.122870206832886E-4, 2.9479246586561203E-4, 0.012816131114959717, -9.7733736038208E-4, 0.5065961480140686
36, 56451377, 0.9999998211860657, -1.4775805175304413E-4, -5.228519439697266E-4, 2.6257243007421494E-4, 0.01338106393814087, -0.001403510570526123, 0.507233738899231
37, 56501378, 0.9999998211860657, -1.4030002057552338E-4, -5.172770470380783E-4, 2.6160385459661484E-4, 0.013295292854309082, -0.0014622807502746582, 0.5070604681968689
38, 56551379, 0.9999998211860657, -1.3343431055545807E-4, -5.157645791769028E-4, 2.9262062162160873E-4, 0.013346672058105469, -0.0012654662132263184, 0.5073922276496887
