faccX,faccY,yaw,posX,posY,velX,velY
-0.1712784618139267,0.22172977030277252,-38.19298553466797,0.005059133361404141,-0.005374354677688745,0.043054827054341646,-0.01917286701500416
0.2940923869609833,-0.2975987195968628,-38.12860107421875,0.005785242557111715,-0.0056991711383064594,0.044078276430567116,-0.01980510825912158
-1.7267732620239258,0.6076294779777527,-37.6729621887207,0.00642038877018624,-0.006007726362182035,0.03213926913837593,-0.0172215186059475
1.3859435319900513,-1.2633916139602661,-37.08937454223633,0.006932374524573487,-0.006340290709502168,0.02929902138809364,-0.022686203072468443
0,-0.26117491722106934,-36.502925872802734,0.007516937626318801,-0.00682426676981979,0.040848550821344067,-0.03539092416564624
-0.3519074320793152,0,-36.26403045654297,0.008173308790557917,-0.007432252652943135,0.037915988887349775,-0.03756738180915515
0.30323630571365356,-0.30282723903656006,-35.85548782348633,0.008801861999349464,-0.00807940535247326,0.03751039616763593,-0.040090942134459816
0.5104427933692932,-0.6443600654602051,-35.379764556884766,0.009483540761801934,-0.008813364617526532,0.044291055326660486,-0.04798416967193286
-0.15853603184223175,-0.12919561564922333,-34.31793212890625,0.010246162986796765,-0.009666819923246901,0.04722361167271933,-0.05443046701451143
-0.2370368093252182,-0.0630219429731369,-33.106346130371094,0.011005752845149904,-0.010587342815059755,0.04392717132965725,-0.0560322800030311
0.6589813232421875,-0.20582091808319092,-31.965723037719727,0.011767174069666203,-0.011539883791572518,0.04744337561229866,-0.0582726371785005
0.32453954219818115,0,-30.761693954467773,0.012626197056637874,-0.012525387530525525,0.05563938282430173,-0.059987811495860424
0.4658142328262329,-0.09699861705303192,-29.6542911529541,0.01360840578253071,-0.013531920403862993,0.062225664282838516,-0.06079613330463569
-0.28479042649269104,0.11843380331993103,-28.5297908782959,0.014658071284906735,-0.01454370073767172,0.0637341960022847,-0.06061750675241153
0.10435395687818527,0.23384356498718262,-27.72833251953125,0.015707777574554917,-0.015529528810746141,0.06223055875549714,-0.05768186201651892
-0.30468976497650146,0.21998713910579681,-26.191347122192383,0.016731041344917486,-0.016459377156570556,0.06056109368801117,-0.05389993948241076
0.28972312808036804,-0.7967143058776855,-24.878522872924805,0.017739353556599884,-0.017397759978969893,0.060436371713876724,-0.05870599920550983
-0.8299522399902344,-0.2228182703256607,-23.853246688842773,0.01870911050794853,-0.01844699417240918,0.05593446244796117,-0.06720210400720439
-0.3326510787010193,-0.5081009864807129,-23.250595092773438,0.019560615207172102,-0.019617787520918584,0.04624610145886739,-0.07329309781392417
0.10615009814500809,1.0596696138381958,-23.163875579833984,0.02031565433005906,-0.02080103577425083,0.0443585932875673,-0.06869669258594514
-0.177177295088768,0.3385922312736511,-23.06562042236328,0.021050031773952975,-0.02184887913366159,0.04376669997970263,-0.057044510543346416
-0.3186410367488861,-0.16000749170780182,-22.958555221557617,0.02174504494501485,-0.02278721925802529,0.03963488054772218,-0.05555630438029767
0,-0.2106485366821289,-23.15108299255371,0.022383498437702657,-0.023738897666335107,0.03697953857481479,-0.058645104616880425
-0.06761611998081207,-0.40906503796577454,-23.72091293334961,0.02299512851672868,-0.02475935174152255,0.03641607090830803,-0.06380938440561296
-0.1597050130367279,0,-24.905981063842773,0.023586276842074264,-0.025851248775919277,0.03452172813316186,-0.06721825972199441
0.48594626784324646,-0.06094679981470108,-26.542499542236328,0.02418429462032186,-0.026975785521272982,0.037240405256549515,-0.06772614972045025
0.798438549041748,0.4366254210472107,-27.902231216430664,0.02489416143132581,-0.02807846589013934,0.04794361206392447,-0.06459549454351267
0,0.09451453387737274,-29.118701934814453,0.02574866875385245,-0.02911817274677257,0.05459726663927238,-0.06016932825247447
0.5183722376823425,-0.11908465623855591,-30.06510353088379,0.0266946212699016,-0.030122701142811115,0.05891703528662523,-0.060374079272151
0.8597511649131775,-0.2514585852622986,-31.07266616821289,0.027772274872081153,-0.031154667966895637,0.07040139697492123,-0.06346193961799146
0.2063915878534317,0,-31.97150421142578,0.02901966917949419,-0.032229829362283156,0.07928591991464298,-0.06555742782851061
0.3522073030471802,-0.4125252664089203,-32.757999420166016,0.030379892767717447,-0.03335110074737006,0.08394091067214808,-0.06899513838191827
-0.4059562683105469,-0.36587512493133545,-33.21875,0.031775175378554406,-0.034555075303133995,0.0834930026282867,-0.07548180830975373
0.12595953047275543,-0.6352145075798035,-33.891197204589844,0.03314728120445378,-0.03588262555499872,0.08115969647963843,-0.08382422191401323
0.2339615374803543,-0.13009348511695862,-34.621246337890625,0.03452493733105561,-0.037332842308613993,0.08415903871258101,-0.09020178851981958
